,level_0,index,grid_index,OPCINA,Mjesna_zaj,WKT,area,Gross_floor_A_heated_m2,total_heat_demand_kWh_realni_2021_schedule,CO2_emissions_realni_2021_schedule,PM2.5_emissions_realni_2021_schedule,NOx_emissions_realni_2021_schedule,SO2_emissions_realni_2021_schedule,total_heat_demand_MWh_realni_2021_schedule,total_heat_demand_kWh/m2_realni_2021_schedule
0,0,0,6775,TRNOVO,Šabići,"POLYGON ((2032791.7263781778 5405595.850859159, 2032791.7263781778 5405795.850859159, 2032991.7263781778 5405795.850859159, 2032991.7263781778 5405595.850859159, 2032791.7263781778 5405595.850859159))",40000.0,415.6191606226792,40634.94503770746,0.0011295969530554163,3.822524460424844e-05,6.506433265721076e-06,8.946340092381715e-07,40.63494503770746,97.76966244007693
1,1,1,6776,TRNOVO,Šabići,"POLYGON ((2032991.7263781778 5405595.850859159, 2032991.7263781778 5405795.850859159, 2033191.7263781778 5405795.850859159, 2033191.7263781778 5405595.850859159, 2032991.7263781778 5405595.850859159))",40000.0,182.94678948464582,38557.37152406469,0.007724538292512653,7.999616344313148e-05,2.0468686450440156e-05,5.143182850240895e-05,38.55737152406469,210.75730070300412
2,2,2,7123,TRNOVO,Šabići,"POLYGON ((2032591.7263781778 5405795.850859159, 2032591.7263781778 5405995.850859159, 2032791.7263781778 5405995.850859159, 2032791.7263781778 5405795.850859159, 2032591.7263781778 5405795.850859159))",40000.0,43.97055486769551,9977.11228536102,0.0,0.0,0.0,0.0,9.97711228536102,226.90439807688327
3,3,3,7124,TRNOVO,Šabići,"POLYGON ((2032791.7263781778 5405795.850859159, 2032791.7263781778 5405995.850859159, 2032991.7263781778 5405995.850859159, 2032991.7263781778 5405795.850859159, 2032791.7263781778 5405795.850859159))",40000.0,358.76295745404207,44746.05157456281,0.0016006722448551505,5.416630057766973e-05,9.219808103475872e-06,1.2677228138918099e-06,44.746051574562806,124.72316510071926
4,4,4,7471,TRNOVO,Šabići,"POLYGON ((2032391.7263781778 5405995.850859159, 2032391.7263781778 5406195.850859159, 2032591.7263781778 5406195.850859159, 2032591.7263781778 5405995.850859159, 2032391.7263781778 5405995.850859159))",40000.0,76.19271647252079,13939.566770873214,0.0,0.0,0.0,0.0,13.939566770873215,182.95143441828296
5,5,5,7472,TRNOVO,Šabići,"POLYGON ((2032591.7263781778 5405995.850859159, 2032591.7263781778 5406195.850859159, 2032791.7263781778 5406195.850859159, 2032791.7263781778 5405995.850859159, 2032591.7263781778 5405995.850859159))",40000.0,782.2200326851018,86146.9698648839,0.044322486410930416,0.0001236031929470754,7.302633190231409e-05,0.00037889456399572985,86.14696986488389,110.13137770093913
6,6,6,7473,TRNOVO,Šabići,"POLYGON ((2032791.7263781778 5405995.850859159, 2032791.7263781778 5406195.850859159, 2032991.7263781778 5406195.850859159, 2032991.7263781778 5405995.850859159, 2032791.7263781778 5405995.850859159))",40000.0,1957.6977508496389,245916.22751650118,0.058511361026038614,0.0003709648334357551,0.00012397540550112006,0.0002828388322043866,245.9162275165012,125.61501253693211
7,7,7,7819,TRNOVO,Šabići,"POLYGON ((2032191.7263781778 5406195.850859159, 2032191.7263781778 5406395.850859159, 2032391.7263781778 5406395.850859159, 2032391.7263781778 5406195.850859159, 2032191.7263781778 5406195.850859159))",40000.0,66.27905714212696,11680.249559169057,0.0,0.0,0.0,0.0,11.680249559169058,176.22836025144798
8,8,8,7820,TRNOVO,Šabići,"POLYGON ((2032391.7263781778 5406195.850859159, 2032391.7263781778 5406395.850859159, 2032591.7263781778 5406395.850859159, 2032591.7263781778 5406195.850859159, 2032391.7263781778 5406195.850859159))",40000.0,273.51829563114313,54674.62219679467,0.021376395138515615,7.282061812458344e-05,3.6969253339438936e-05,0.0001794386236940194,54.67462219679467,199.89383916945317
9,9,9,7822,TRNOVO,Šabići,"POLYGON ((2032791.7263781778 5406195.850859159, 2032791.7263781778 5406395.850859159, 2032991.7263781778 5406395.850859159, 2032991.7263781778 5406195.850859159, 2032791.7263781778 5406195.850859159))",40000.0,71.17750705114857,19502.56218137137,0.0013496582824478458,4.567205837371601e-05,7.773977720568293e-06,1.0689212617489992e-06,19.502562181371367,273.9989497996427
